Filename,Candidate,RL_Score,Grade,Base_Score,Processing_Time
cv_indian_Frederick_Saxena_20251224_172614.pdf,FREDERICK SAXENA,0.9473,A,0.99,41.1s
cv_italian_Fiamma_Combi_20251224_172614.pdf,FIAMMA COMBI,0.9413,A,0.98,291.3s
cv_italian_Tullio_Cagnin_20251223_193501.pdf,TULLIO CAGNIN,0.9328,A,0.97,76.9s
cv_indian_Charles_Gaba_20251223_193501.pdf,CHARLES GABA,0.9293,A-,0.96,32.5s
cv_indian_Hemal_Naik_20251224_172614.pdf,HEMAL NAIK,0.9277,A-,0.96,42.7s
cv_indian_Waida_Bhattacharyya_20251224_172614.pdf,WAIDA BHATTACHARYYA,0.9273,A-,0.99,50.8s
cv_indian_Januja_Dhawan_20251221_224022.pdf,JANUJA DHAWAN,0.9273,A-,0.99,297.8s
cv_french_Margaret_Hamel_de_la_Renaud_20251221_224022.pdf,MARGARET HAMEL DE LA RENAUD,0.9233,A-,0.95,41.2s
cv_french_Michel_Muller_20251223_193501.pdf,MICHEL MULLER,0.9233,A-,0.95,300.5s
cv_indian_Jatin_Kapoor_20251224_172614.pdf,JATIN KAPOOR,0.9233,A-,0.95,35.4s
cv_german_Reingard_Möchlichen_B.Sc._20251224_172614.pdf,REINGARD MÖCHLICHEN B.SC.,0.8973,B+,0.94,39.7s
cv_french_Anaïs_Vallée_20251224_172614.pdf,ANAÏS VALLÉE,0.8913,B+,0.93,42.9s
cv_french_Josette_Charles-Jacques_20251223_193501.pdf,Josette Charles-Jacques,0.8913,B+,0.93,298.3s
cv_german_Franco_Heydrich_20251224_172614.pdf,FRANCO HEYDRICH,0.8793,B+,0.91,41.0s
cv_indian_Rudra_Bora_20251223_193501.pdf,RUDRA BORA,0.8793,B+,0.91,309.7s
cv_french_Nicolas_de_la_Becker_20251223_193501.pdf,NICOLAS DE LA BECKER,0.8773,B+,0.94,55.3s
cv_german_Swetlana_Wilmsen_20251224_172614.pdf,SWETLANA WILMSEN,0.8673,B,0.89,308.1s
cv_italian_Sig.ra_Rossana_Murri_20251224_172614.pdf,Rossana Murri,0.8605,B,0.92,52.2s
cv_french_Simone_Faure-Da_Costa_20251224_172613.pdf,SIMONE FAURE-DA COSTA,0.8578,B,0.91,299.8s
cv_german_Cynthia_Förster_20251224_172614.pdf,CYNTHIA FÖRSTER,0.8553,B,0.87,62.6s
cv_german_Simon_Hornig_B.Sc._20251223_193501.pdf,SIMON HORNIG B.SC.,0.8553,B,0.87,304.1s
cv_french_Auguste_Guichard_20251224_172614.pdf,AUGUSTE GUICHARD,0.8473,B,0.89,40.2s
cv_german_Dr._Arndt_Ortmann_MBA._20251223_193501.pdf,DR. ARNDT ORTMANN MBA.,0.8447,B,0.92,308.7s
cv_german_Hakan_Rörricht_B.Sc._20251224_172614.pdf,HAKAN RÖRRICHT B.SC.,0.8278,B-,0.86,294.2s
cv_french_Augustin_Le_Guichard_20251224_172614.pdf,AUGUSTIN LE GUICHARD,0.8273,B-,0.89,303.4s
