Filename,Candidate,RL_Score,Grade,Base_Score,Processing_Time
cv_indian_Frederick_Saxena_20251224_172614.pdf,FREDERICK SAXENA,0.9473,A,0.99,289.5s
cv_indian_Hemal_Naik_20251224_172614.pdf,HEMAL NAIK,0.9353,A,0.97,73.0s
cv_italian_Tullio_Cagnin_20251223_193501.pdf,TULLIO CAGNIN,0.9328,A,0.97,315.1s
cv_indian_Jatin_Kapoor_20251224_172614.pdf,JATIN KAPOOR,0.9293,A-,0.96,302.3s
cv_italian_Fiamma_Combi_20251224_172614.pdf,FIAMMA COMBI,0.9293,A-,0.96,293.0s
cv_french_Margaret_Hamel_de_la_Renaud_20251221_224022.pdf,MARGARET HAMEL DE LA RENAUD,0.9233,A-,0.95,36.4s
cv_italian_Sig.ra_Rossana_Murri_20251224_172614.pdf,Rossana Murri,0.9229,A-,0.95,316.7s
cv_german_Reingard_Möchlichen_B.Sc._20251224_172614.pdf,REINGARD MÖCHLICHEN B.SC.,0.8973,B+,0.94,307.8s
cv_french_Michel_Muller_20251223_193501.pdf,MICHEL MULLER,0.8913,B+,0.93,269.6s
cv_french_Anaïs_Vallée_20251224_172614.pdf,Anaïs Vallée,0.8913,B+,0.93,290.6s
cv_french_Josette_Charles-Jacques_20251223_193501.pdf,JOSETTE CHARLES-JACQUES,0.8913,B+,0.93,303.7s
cv_indian_Rudra_Bora_20251223_193501.pdf,RUDRA BORA,0.8913,B+,0.93,296.1s
cv_french_Simone_Faure-Da_Costa_20251224_172613.pdf,SIMONE FAURE-DA COSTA,0.8898,B+,0.93,304.9s
cv_indian_Januja_Dhawan_20251221_224022.pdf,JANUJA DHAWAN,0.8893,B+,0.96,35.3s
cv_german_Franco_Heydrich_20251224_172614.pdf,FRANCO HEYDRICH,0.8853,B+,0.92,75.5s
cv_indian_Charles_Gaba_20251223_193501.pdf,CHARLES GABA,0.8853,B+,0.92,289.0s
cv_indian_Waida_Bhattacharyya_20251224_172614.pdf,WAIDA BHATTACHARYYA,0.8833,B+,0.95,296.2s
cv_german_Dr._Arndt_Ortmann_MBA._20251223_193501.pdf,DR. ARNDT ORTMANN MBA.,0.8787,B+,0.91,303.1s
cv_french_Augustin_Le_Guichard_20251224_172614.pdf,AUGUSTIN LE GUICHARD,0.8673,B,0.89,302.1s
cv_french_Auguste_Guichard_20251224_172614.pdf,AUGUSTE GUICHARD,0.8593,B,0.91,312.4s
cv_french_Nicolas_de_la_Becker_20251223_193501.pdf,NICOLAS DE LA BECKER,0.8575,B,0.91,302.0s
cv_german_Cynthia_Förster_20251224_172614.pdf,CYNTHIA FÖRSTER,0.8553,B,0.87,39.1s
cv_german_Simon_Hornig_B.Sc._20251223_193501.pdf,SIMON HORNIG B.SC.,0.8433,B,0.85,55.7s
cv_german_Hakan_Rörricht_B.Sc._20251224_172614.pdf,HAKAN RÖRRICHT B.SC.,0.8398,B,0.88,301.4s
cv_german_Swetlana_Wilmsen_20251224_172614.pdf,SWETLANA WILMSEN,0.8293,B-,0.86,40.3s
